,FIPS_State,FIPS_County,NumAllAge,NumAllAge90%lb,NumAllAge90%ub,PercentAllAge,PercentAllAge90%lb,PercentAllAge90%ub,Num0-17_,Num0-17_90%lb,Num0-17_90%ub,Percent0-17_,Percent0-17_90%lb,Percent0-17_90%ub,NumRelCh5-17_,NumRelCh5-17_90%lb,NumRelCh5-17_90%ub,PercentRelCh5-17_,PercentRelCh5-17_90%lb,PercentRelCh5-17_90%ub,MedHouseInc,MedHouseInc90%lb,MedHouseInc90%ub,County_Name
127,48,255,2254,1620,2888,17.5,12.6,22.4,773,514,1032,22.9,15.2,30.6,544,357,731,21.8,14.3,29.3,56006,47493,64519,Karnes County 
128,48,257,12958,10334,15582,9.2,7.3,11.1,5007,3619,6395,12.7,9.2,16.2,3696,2663,4729,12.6,9.1,16.1,76352,69043,83661,Kaufman County 
129,48,259,3233,2433,4033,6.7,5.0,8.4,939,632,1246,8.6,5.8,11.4,651,430,872,7.5,4.9,10.1,103216,89936,116496,Kendall County 
130,48,261,41,30,52,10.8,7.9,13.7,9,6,12,13.8,9.3,18.3,6,4,8,10.9,7.1,14.7,45980,38626,53334,Kenedy County 
131,48,263,82,61,103,11.3,8.4,14.2,21,14,28,12.3,8.2,16.4,15,10,20,11.2,7.2,15.2,53472,45469,61475,Kent County 
132,48,265,5927,4530,7324,11.6,8.9,14.3,1584,959,2209,16.5,10.0,23.0,1173,711,1635,16.9,10.3,23.5,57425,49814,65036,Kerr County 
133,48,267,687,509,865,15.7,11.6,19.8,257,171,343,32.7,21.8,43.6,188,123,253,33.7,22.0,45.4,47894,40680,55108,Kimble County 
134,48,269,35,26,44,12.4,9.1,15.7,16,11,21,21.3,14.1,28.5,12,8,16,20.3,13.4,27.2,78210,65739,90681,King County 
135,48,271,597,441,753,17.9,13.2,22.6,159,106,212,22.7,15.1,30.3,114,75,153,21.5,14.1,28.9,62557,61209,63905,Kinney County 
136,48,273,6030,4748,7312,20.8,16.4,25.2,2175,1591,2759,30.0,21.9,38.1,1454,1013,1895,28.1,19.6,36.6,51574,45274,57874,Kleberg County 
137,48,275,582,427,737,16.3,12.0,20.6,236,157,315,24.6,16.4,32.8,163,106,220,22.6,14.7,30.5,46053,39511,52595,Knox County 
